Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;DNB Cup 3/Junior Cup 1 normal-Points;DNB Cup 3/Junior Cup 1 normal-Time;DNB Cup 3/Junior Cup 1 normal-TimeFormatted;DNB Cup 3/Junior Cup 1 normal-DiffTimeFormatted;DNB Cup 3/Junior Cup 1 sprint-Points;DNB Cup 3/Junior Cup 1 sprint-Time;DNB Cup 3/Junior Cup 1 sprint-TimeFormatted;DNB Cup 3/Junior Cup 1 sprint-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NSSF JR Cup 2 K18-19 liste-Points;NSSF JR Cup 2 K18-19 liste-Time;NSSF JR Cup 2 K18-19 liste-TimeFormatted;NSSF JR Cup 2 K18-19 liste-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NM JR /JR Cup 2 K18-19-Points;NM JR /JR Cup 2 K18-19-Time;NM JR /JR Cup 2 K18-19-TimeFormatted;NM JR /JR Cup 2 K18-19-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-Points;DNB Cup 5 / Junior Cup 3 Sprint-Time;DNB Cup 5 / Junior Cup 3 Sprint-TimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-Points;DNB Cup 5 / Junior Cup 3  Normal-Time;DNB Cup 5 / Junior Cup 3  Normal-TimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-DiffTimeFormatted;NM Normal -Senior, NM Normal - Junior-Points;NM Normal -Senior, NM Normal - Junior-Time;NM Normal -Senior, NM Normal - Junior-TimeFormatted;NM Normal -Senior, NM Normal - Junior-DiffTimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-Points;DNB Cup 6/Junior Cup 4, 10.03.2018-Time;DNB Cup 6/Junior Cup 4, 10.03.2018-TimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-DiffTimeFormatted;Junior Cup 4 - Sprint M19-Points;Junior Cup 4 - Sprint M19-Time;Junior Cup 4 - Sprint M19-TimeFormatted;Junior Cup 4 - Sprint M19-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-Points;Junior Cup finale 5 - Fellesstart 17-19år-Time;Junior Cup finale 5 - Fellesstart 17-19år-TimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-Points;Junior Cup finale 5 - Fellesstart 19-21år-Time;Junior Cup finale 5 - Fellesstart 19-21år-TimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-DiffTimeFormatted
85;Asgeir;Espeland;0;m;Tynset IF;NO;Serie;M17;00:00:00.000;Mål;30.0;OK;33;0;7;538306;Team Toyota Slettum Bil;30.0;14772600;4:06:12.6;35:01.890;0;418642;NOR;0.0;3152220;52:32.2;10:32.1;9.0;1646700;27:26.7;3:21.0;0.0;2170300;36:10.3;5:35.8;;;;;;;;;;;;;0.0;1311900;21:51.9;3:01.2;7.0;2334350;38:54.3;4:08.9;8.0;2699800;44:59.8;4:42.3;6.0;1457330;24:17.3;2:43.3;;;;;;;;;;;;
86;Mats;Maalø;0;m;Skatval Skilag;NO;Serie;M17;00:00:00.000;Mål;28.0;OK;34;0;6;2224402;Meråker vgs;28.0;12723180;3:32:03.1;Mangler 1;0;418642;NOR;0.0;3023550;50:23.5;8:23.4;15.0;1619700;26:59.7;2:54.0;0.0;2175200;36:15.2;5:40.7;;;;;0.0;1475600;24:35.6;4:15.4;;;;;;;;;;;;;0.0;2999200;49:59.2;9:41.7;13.0;1429930;23:49.9;2:15.9;;;;;;;;;;;;
87;Iver;Owren;0;m;Vingrom IL;NO;Serie;M17;00:00:00.000;Mål;27.0;OK;35;0;7;694544;NTG-L;27.0;13981890;3:53:01.8;21:51.180;0;418642;NOR;0.0;3018180;50:18.1;8:18.0;5.0;1659800;27:39.8;3:34.1;0.0;2338500;38:58.5;8:24.0;;;;;0.0;1558400;25:58.4;5:38.2;;;;;19.0;1209100;20:09.1;1:18.4;0.0;2723750;45:23.7;10:38.3;0.0;3062500;51:02.5;10:45.0;3.0;1474160;24:34.1;3:00.1;;;;;;;;;;;;
88;Åsbjørn Langeland;Øvland;0;m;Øvrebø IL;NO;Serie;M17;00:00:00.000;Mål;27.0;OK;36;0;7;4571866;Sirdal Ski;27.0;14881390;4:08:01.3;36:50.680;0;418642;NOR;0.0;3256340;54:16.3;12:16.2;13.0;1623700;27:03.7;2:58.0;5.0;2072800;34:32.8;3:58.3;;;;;0.0;1460400;24:20.4;4:00.2;;;;;3.0;1282500;21:22.5;2:31.8;0.0;2464550;41:04.5;6:19.1;6.0;2721100;45:21.1;5:03.6;0.0;1592950;26:32.9;4:58.9;;;;;;;;;;;;
89;Espen;Haugøy;0;m;Asker Skiklubb;NO;Serie;M17;00:00:00.000;Mål;26.0;OK;37;0;7;370940;Wang Toppidrett;26.0;14289040;3:58:09.0;26:58.330;0;418642;NOR;0.0;3050670;50:50.6;8:50.5;8.0;1650200;27:30.2;3:24.5;;;;;;;;;0.0;1481200;24:41.2;4:21.0;;;;;0.0;1288800;21:28.8;2:38.1;0.0;2655990;44:15.9;9:30.5;2.0;2745600;45:45.6;5:28.1;16.0;1416580;23:36.5;2:02.5;;;;;;;;;;;;
90;Magnus Midthjell;Gjørven;0;m;Markane IL;NO;Serie;M17;00:00:00.000;Mål;26.0;OK;38;0;7;694545;Stryn vgs;26.0;14685390;4:04:45.3;33:34.680;0;418642;NOR;8.0;2924490;48:44.4;6:44.3;4.0;1665000;27:45.0;3:39.3;0.0;2180600;36:20.6;5:46.1;;;;;9.0;1399700;23:19.7;2:59.5;;;;;0.0;1300700;21:40.7;2:50.0;5.0;2361900;39:21.9;4:36.5;0.0;2853000;47:33.0;7:15.5;0.0;1490940;24:50.9;3:16.9;;;;;;;;;;;;
91;Thomas;Austheim;0;m;Steinkjer Skiklubb;NO;Serie;M17;00:00:00.000;Mål;19.0;OK;39;0;4;2124209;;19.0;7271220;2:01:11.2;Mangler 3;0;418642;NOR;;;;;;;;;0.0;2220500;37:00.5;6:26.0;;;;;0.0;1456200;24:16.2;3:56.0;;;;;11.0;1262600;21:02.6;2:11.9;8.0;2331920;38:51.9;4:06.5;;;;;;;;;;;;;;;;;;;;
92;Henrik;Kraft;0;m;Skatval Skilag;NO;Serie;M17;00:00:00.000;Mål;18.0;OK;40;0;7;792969;;18.0;14971260;4:09:31.2;38:20.550;0;418642;NOR;2.0;2956090;49:16.0;7:15.9;7.0;1657700;27:37.7;3:32.0;0.0;2157700;35:57.7;5:23.2;;;;;0.0;1468500;24:28.5;4:08.3;;;;;0.0;1464600;24:24.6;5:33.9;0.0;2574370;42:54.3;8:08.9;9.0;2692300;44:52.3;4:34.8;0.0;1635830;27:15.8;5:41.8;;;;;;;;;;;;
93;Alexander;Smeby;0;m;Oslo Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;17.0;OK;41;0;7;692034;;17.0;15044360;4:10:44.3;39:33.650;0;418642;NOR;0.0;2975630;49:35.6;7:35.5;0.0;1732500;28:52.5;4:46.8;0.0;2192300;36:32.3;5:57.8;;;;;17.0;1357400;22:37.4;2:17.2;;;;;0.0;1297500;21:37.5;2:46.8;0.0;2455130;40:55.1;6:09.7;0.0;3033900;50:33.9;10:16.4;;;;;;;;;;;;;;;;
94;Emil Kristian Kjeldsø;Sjöberg;0;m;Tromsø Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;16.0;OK;42;0;7;4726574;Meråker vgs;16.0;15010580;4:10:10.5;38:59.870;0;418642;NOR;0.0;3138730;52:18.7;10:18.6;10.0;1644200;27:24.2;3:18.5;2.0;2113100;35:13.1;4:38.6;;;;;4.0;1431800;23:51.8;3:31.6;;;;;0.0;1362500;22:42.5;3:51.8;0.0;2397350;39:57.3;5:11.9;0.0;2922900;48:42.9;8:25.4;0.0;1506200;25:06.2;3:32.2;;;;;;;;;;;;
95;Øyvind Egebakken;Grotli;0;m;Nittedal Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;16.0;OK;43;0;6;711905;;16.0;12139050;3:22:19.0;Mangler 1;0;418642;NOR;0.0;3178460;52:58.4;10:58.3;0.0;1771000;29:31.0;5:25.3;0.0;2148400;35:48.4;5:13.9;;;;;6.0;1423800;23:43.8;3:23.6;;;;;1.0;1288000;21:28.0;2:37.3;9.0;2329390;38:49.3;4:03.9;0.0;0;0:00.0;40:17.5;;;;;;;;;;;;;;;;
96;Håvard;Heggland;0;m;Froland IL;NO;Serie;M17;00:00:00.000;Mål;15.0;OK;44;0;7;694541;Sirdal Ski;15.0;15117340;4:11:57.3;40:46.630;0;418642;NOR;0.0;3125310;52:05.3;10:05.2;0.0;1746100;29:06.1;5:00.4;0.0;2126600;35:26.6;4:52.1;;;;;0.0;1486600;24:46.6;4:26.4;;;;;15.0;1253500;20:53.5;2:02.8;0.0;2490630;41:30.6;6:45.2;0.0;2888600;48:08.6;7:51.1;0.0;1486290;24:46.2;3:12.2;;;;;;;;;;;;
97;Jonas Landsem;Kristiansen;0;m;Byåsen Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;11.0;OK;45;0;7;2124335;Trondheim Biathlon Team;11.0;14999060;4:09:59.0;38:48.350;0;418642;NOR;0.0;3091730;51:31.7;9:31.6;0.0;1693400;28:13.4;4:07.7;3.0;2096700;34:56.7;4:22.2;;;;;8.0;1421000;23:41.0;3:20.8;;;;;0.0;1393800;23:13.8;4:23.1;0.0;2451130;40:51.1;6:05.7;0.0;2851300;47:31.3;7:13.8;0.0;1536170;25:36.1;4:02.1;;;;;;;;;;;;
98;Magnus;Aasbø;0;m;Gjerstad IL;NO;Serie;M17;00:00:00.000;Mål;10.0;OK;46;0;7;694500;Sirdal Ski;10.0;15139940;4:12:19.9;41:09.230;0;418642;NOR;10.0;2911200;48:31.2;6:31.1;0.0;1735000;28:55.0;4:49.3;0.0;2243900;37:23.9;6:49.4;;;;;0.0;1496600;24:56.6;4:36.4;;;;;0.0;1397200;23:17.2;4:26.5;0.0;2520740;42:00.7;7:15.3;0.0;2835300;47:15.3;6:57.8;0.0;1584010;26:24.0;4:50.0;;;;;;;;;;;;
99;Erlend;Hauan;0;m;Tromsø Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;10.0;OK;46;0;7;4105154;;10.0;14172530;3:56:12.5;25:01.820;0;418642;NOR;0.0;3038710;50:38.7;8:38.6;0.0;1817200;30:17.2;6:11.5;0.0;2279400;37:59.4;7:24.9;;;;;0.0;1541200;25:41.2;5:21.0;;;;;0.0;1446300;24:06.3;5:15.6;0.0;2608430;43:28.4;8:43.0;0.0;3017800;50:17.8;10:00.3;10.0;1441290;24:01.2;2:27.2;;;;;;;;;;;;
100;Knut Dahlen;Aspenes;0;m;Skatval Skilag;NO;Serie;M17;00:00:00.000;Mål;10.0;OK;46;0;6;4190607;;10.0;12914710;3:35:14.7;Mangler 1;0;418642;NOR;0.0;3041260;50:41.2;8:41.1;0.0;1756800;29:16.8;5:11.1;;;;;;;;;;;;;;;;;0.0;1447900;24:07.9;5:17.2;10.0;2320340;38:40.3;3:54.9;0.0;2815000;46:55.0;6:37.5;0.0;1533410;25:33.4;3:59.4;;;;;;;;;;;;
101;Espen;Aakervik;0;m;Fet Skiklubb - Skiskyting;NO;Serie;M17;00:00:00.000;Mål;10.0;OK;46;0;1;337495;;10.0;2013400;33:33.4;Mangler 6;0;418642;NOR;;;;;;;;;10.0;2013400;33:33.4;2:58.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Torjus Engeset;Woldsund;0;m;Volda Turn og IL;NO;Serie;M17;00:00:00.000;Mål;9.0;OK;50;0;7;2224333;;9.0;14090420;3:54:50.4;23:39.710;0;418642;NOR;0.0;3168490;52:48.4;10:48.3;0.0;1702400;28:22.4;4:16.7;0.0;2348900;39:08.9;8:34.4;;;;;0.0;1557300;25:57.3;5:37.1;;;;;0.0;1313400;21:53.4;3:02.7;0.0;2556110;42:36.1;7:50.7;0.0;2983000;49:43.0;9:25.5;9.0;1443820;24:03.8;2:29.8;;;;;;;;;;;;
103;Martin Jenssen;Sandvik;0;m;Skatval Skilag;NO;Serie;M17;00:00:00.000;Mål;8.0;OK;51;0;7;4206175;Meråker vgs;8.0;15412450;4:16:52.4;45:41.740;0;418642;NOR;0.0;3103300;51:43.3;9:43.2;0.0;1835400;30:35.4;6:29.7;0.0;2309700;38:29.7;7:55.2;;;;;0.0;1521300;25:21.3;5:01.1;;;;;5.0;1279800;21:19.8;2:29.1;0.0;2625150;43:45.1;8:59.7;3.0;2737800;45:37.8;5:20.3;0.0;1514030;25:14.0;3:40.0;;;;;;;;;;;;
104;Sebastian Stolen;Antonsen;0;m;IL Bevern;NO;Serie;M17;00:00:00.000;Mål;7.0;OK;52;0;6;755378;Team Kongsberg;7.0;12728330;3:32:08.3;Mangler 1;0;418642;NOR;0.0;3125650;52:05.6;10:05.5;0.0;1743300;29:03.3;4:57.6;6.0;2057900;34:17.9;3:43.4;;;;;0.0;1450500;24:10.5;3:50.3;;;;;;;;;;;;;0.0;2869200;47:49.2;7:31.7;1.0;1481780;24:41.7;3:07.7;;;;;;;;;;;;
105;Torbjørn;Stuen;0;m;Rennebu IL;NO;Serie;M17;00:00:00.000;Mål;6.0;OK;53;0;6;4083111;;6.0;11506610;3:11:46.6;Mangler 1;0;418642;NOR;4.0;2948790;49:08.7;7:08.6;0.0;1751000;29:11.0;5:05.3;0.0;0;0:00.0;30:34.5;;;;;0.0;1456300;24:16.3;3:56.1;;;;;0.0;1299800;21:39.8;2:49.1;0.0;2574110;42:54.1;8:08.7;0.0;2813600;46:53.6;6:36.1;2.0;1476610;24:36.6;3:02.6;;;;;;;;;;;;
106;Amund Grann;Vingelen;0;m;Vingelen IL;NO;Serie;M17;00:00:00.000;Mål;6.0;OK;53;0;6;4799600;;6.0;11898780;3:18:18.7;Mangler 1;0;418642;NOR;;;;;;;;;0.0;2290600;38:10.6;7:36.1;;;;;0.0;1544800;25:44.8;5:24.6;;;;;2.0;1284100;21:24.1;2:33.4;4.0;2370590;39:30.5;4:45.1;0.0;2925800;48:45.8;8:28.3;0.0;1482890;24:42.8;3:08.8;;;;;;;;;;;;
107;Sigurd;Grevstad;0;m;Fossum IF;NO;Serie;M17;00:00:00.000;Mål;2.0;OK;55;0;7;694493;;2.0;15167090;4:12:47.0;41:36.380;0;418642;NOR;0.0;3076810;51:16.8;9:16.7;0.0;1738600;28:58.6;4:52.9;0.0;2346200;39:06.2;8:31.7;;;;;2.0;1441200;24:01.2;3:41.0;;;;;0.0;1298300;21:38.3;2:47.6;0.0;2451480;40:51.4;6:06.0;0.0;2814500;46:54.5;6:37.0;0.0;1663600;27:43.6;6:09.6;;;;;;;;;;;;
108;Jørgen Brones;Stenersen;0;m;Målselvs Skiskyttere;NO;Serie;M17;00:00:00.000;Mål;2.0;OK;55;0;4;941355;;2.0;8416640;2:20:16.6;Mangler 3;0;418642;NOR;0.0;3128640;52:08.6;10:08.5;2.0;1681400;28:01.4;3:55.7;0.0;2151100;35:51.1;5:16.6;;;;;0.0;1455500;24:15.5;3:55.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Sondre Bjørgen;Nilsen;0;m;Byåsen Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;1.0;OK;57;0;6;618713;Trondheim Biathlon Team;1.0;12953020;3:35:53.0;Mangler 1;0;418642;NOR;0.0;3068330;51:08.3;9:08.2;0.0;1731300;28:51.3;4:45.6;0.0;0;0:00.0;30:34.5;;;;;;;;;;;;;0.0;1320400;22:00.4;3:09.7;1.0;2383300;39:43.3;4:57.9;0.0;2904600;48:24.6;8:07.1;0.0;1545090;25:45.0;4:11.0;;;;;;;;;;;;
110;Mats;Øverby;0;m;Lier IL;NO;Serie;M18;00:00:00.000;Mål;303.0;OK;1;0;7;382023;NTG-G;303.0;12201900;3:23:21.9;0:00.000;0;418644;NOR;50.0;2364330;39:24.3;0:00.0;45.0;1403700;23:23.7;0:44.5;0.0;2042400;34:02.4;4:41.9;;;;;;;;;;;;;18.0;1218900;20:18.9;1:50.7;45.0;1980990;33:00.9;0:24.4;50.0;2193600;36:33.6;0:00.0;45.0;1268100;21:08.1;0:19.3;;;;;50.0;1772280;29:32.2;0:00.0;;;;
111;Mathias Indrelid;Haugen;0;m;Østre Toten Skilag;NO;Serie;M18;00:00:00.000;Mål;254.0;OK;2;0;7;2956470;NTG-L;254.0;12892890;3:34:52.8;11:30.990;0;418644;NOR;22.0;2597880;43:17.8;3:53.5;9.0;1553500;25:53.5;3:14.3;50.0;1760500;29:20.5;0:00.0;;;;;24.0;1281000;21:21.0;0:51.8;;;;;50.0;1108200;18:28.2;0:00.0;36.0;2011740;33:31.7;0:55.2;40.0;2302200;38:22.2;1:48.6;1.0;1429660;23:49.6;3:00.8;;;;;32.0;1831370;30:31.3;0:59.1;;;;
112;Vetle Rype;Paulsen;0;m;Lier IL;NO;Serie;M18;00:00:00.000;Mål;239.0;OK;3;0;7;4188653;NTG-G;239.0;11051120;3:04:11.1;19:10.780;0;418644;NOR;17.0;2674130;44:34.1;5:09.8;22.0;1457400;24:17.4;1:38.2;45.0;1763900;29:23.9;0:03.4;;;;;29.0;1271800;21:11.8;0:42.6;;;;;29.0;1172600;19:32.6;1:04.4;20.0;2105820;35:05.8;2:29.3;45.0;2278400;37:58.4;1:24.8;40.0;1271410;21:11.4;0:22.6;;;;;29.0;1835610;30:35.6;1:03.4;;;;
113;Ånon;Flåta;0;m;Gjerstad IL;NO;Serie;M18;00:00:00.000;Mål;238.0;OK;4;0;7;694765;NTG-G;238.0;12422170;3:27:02.1;3:40.270;0;418644;NOR;36.0;2514860;41:54.8;2:30.5;36.0;1435500;23:55.5;1:16.3;29.0;1802300;30:02.3;0:41.8;;;;;15.0;1312900;21:52.9;1:23.7;;;;;;;;;;;;;32.0;2307900;38:27.9;1:54.3;50.0;1248880;20:48.8;0:00.0;;;;;40.0;1799830;29:59.8;0:27.6;;;;
114;Simen Eliassen;Kvarme;0;m;Steinkjer Skiklubb;NO;Serie;M18;00:00:00.000;Mål;228.0;OK;5;0;7;941163;Steinkjer vgs;228.0;11364020;3:09:24.0;13:57.880;0;418644;NOR;0.0;2979620;49:39.6;10:15.3;40.0;1406100;23:26.1;0:46.9;15.0;1900500;31:40.5;2:20.0;;;;;40.0;1245400;20:45.4;0:16.2;;;;;40.0;1124400;18:44.4;0:16.2;40.0;1997990;33:17.9;0:41.4;36.0;2307200;38:27.2;1:53.6;16.0;1350430;22:30.4;1:41.6;;;;;16.0;1932500;32:12.5;2:40.3;;;;
115;Jørgen Solhaug;Sæter;0;m;Os IL;NO;Serie;M18;00:00:00.000;Mål;228.0;OK;6;0;7;415168;Team Toyota Slettum Bil;228.0;12476670;3:27:56.6;4:34.770;0;418644;NOR;40.0;2495010;41:35.0;2:10.7;32.0;1437200;23:57.2;1:18.0;40.0;1771800;29:31.8;0:11.3;;;;;32.0;1266000;21:06.0;0:36.8;;;;;22.0;1188700;19:48.7;1:20.5;8.0;2234680;37:14.6;4:38.1;24.0;2359600;39:19.6;2:46.0;24.0;1328300;22:08.3;1:19.5;;;;;36.0;1818760;30:18.7;0:46.5;;;;
116;Eirik;Horten;0;m;Os IL;NO;Serie;M18;00:00:00.000;Mål;214.0;OK;7;0;7;694800;Team Toyota Slettum Bil;214.0;12605610;3:30:05.6;6:43.710;0;418644;NOR;45.0;2477800;41:17.8;1:53.5;24.0;1456300;24:16.3;1:37.1;26.0;1823900;30:23.9;1:03.4;;;;;45.0;1242200;20:42.2;0:13.0;;;;;24.0;1179600;19:39.6;1:11.4;24.0;2093810;34:53.8;2:17.3;26.0;2332000;38:52.0;2:18.4;19.0;1336970;22:16.9;1:28.1;;;;;11.0;1969060;32:49.0;3:16.8;;;;
117;Martin;Alfheim;0;m;Bossmo & Ytteren IL;NO;Serie;M18;00:00:00.000;Mål;206.0;OK;8;0;5;694786;NTG-L;206.0;8699110;2:24:59.1;Mangler 2;0;418644;NOR;29.0;2536890;42:16.8;2:52.5;50.0;1359200;22:39.2;0:00.0;32.0;1800000;30:00.0;0:39.5;;;;;50.0;1229200;20:29.2;0:00.0;;;;;;;;;;;;;;;;;;;;;;;;;45.0;1773820;29:33.8;0:01.6;;;;
118;Magnus Fjerdingen;Moan;0;m;Røros IL;NO;Serie;M18;00:00:00.000;Mål;186.0;OK;9;0;7;2118305;Team Toyota Slettum Bil;186.0;12908760;3:35:08.7;11:46.860;0;418644;NOR;15.0;2693690;44:53.6;5:29.3;26.0;1444100;24:04.1;1:24.9;;;;;;;;;4.0;1357700;22:37.7;2:08.5;;;;;45.0;1113100;18:33.1;0:04.9;32.0;2047340;34:07.3;1:30.8;29.0;2324700;38:44.7;2:11.1;29.0;1307460;21:47.4;0:58.6;;;;;10.0;1978370;32:58.3;3:26.1;;;;
119;Kristoffer;Sverdrup;0;m;Dombås IL;NO;Serie;M18;00:00:00.000;Mål;164.0;OK;10;0;7;4005733;NTG-L;164.0;11686170;3:14:46.1;8:35.730;0;418644;NOR;20.0;2612000;43:32.0;4:07.7;29.0;1443900;24:03.9;1:24.7;21.0;1857900;30:57.9;1:37.4;;;;;36.0;1248200;20:48.2;0:19.0;;;;;36.0;1131600;18:51.6;0:23.4;1.0;2274180;37:54.1;5:17.6;1.0;2606400;43:26.4;6:52.8;17.0;1343390;22:23.3;1:34.5;;;;;5.0;2049180;34:09.1;4:36.9;;;;
120;Kjerand Tronerud;Kvelvane;0;m;Voss Skiskytterlag;NO;Serie;M18;00:00:00.000;Mål;153.0;OK;11;0;7;3829293;NTG-G;153.0;13483060;3:44:43.0;21:21.160;0;418644;NOR;19.0;2633210;43:53.2;4:28.9;7.0;1577700;26:17.7;3:38.5;20.0;1858100;30:58.1;1:37.6;;;;;7.0;1349400;22:29.4;2:00.2;;;;;32.0;1162900;19:22.9;0:54.7;16.0;2188340;36:28.3;3:51.8;22.0;2412900;40:12.9;3:39.3;26.0;1321870;22:01.8;1:13.0;;;;;18.0;1905740;31:45.7;2:13.5;;;;
121;Morten André Skånøy;Søraas;0;m;Skauga IL;NO;Serie;M18;00:00:00.000;Mål;137.0;OK;12;0;7;414908;Heimdal vgs;137.0;13149950;3:39:09.9;15:48.050;0;418644;NOR;21.0;2601060;43:21.0;3:56.7;8.0;1562200;26:02.2;3:23.0;;;;;;;;;;;;;;;;;13.0;1224500;20:24.5;1:56.3;26.0;2074920;34:34.9;1:58.4;20.0;2456500;40:56.5;4:22.9;32.0;1307350;21:47.3;0:58.5;;;;;17.0;1923420;32:03.4;2:31.2;;;;
122;Håvard;Mo;0;m;Orkdal IL;NO;Serie;M18;00:00:00.000;Mål;136.0;OK;13;0;7;4710971;;136.0;11155150;3:05:55.1;17:26.750;0;418644;NOR;0.0;2910400;48:30.4;9:06.1;15.0;1526600;25:26.6;2:47.4;17.0;1872700;31:12.7;1:52.2;;;;;11.0;1326700;22:06.7;1:37.5;;;;;11.0;1231400;20:31.4;2:03.2;50.0;1956500;32:36.5;0:00.0;7.0;2541000;42:21.0;5:47.4;11.0;1370640;22:50.6;2:01.8;;;;;21.0;1870610;31:10.6;1:38.4;;;;
123;Christian Qvist;Bucher-Johannessen;0;m;Fossum IF;NO;Serie;M18;00:00:00.000;Mål;136.0;OK;14;0;7;431387;NTG-G;136.0;12437780;3:27:17.7;3:55.880;0;418644;NOR;0.0;2790000;46:30.0;7:05.7;19.0;1498100;24:58.1;2:18.9;36.0;1799800;29:59.8;0:39.3;;;;;1.0;1374400;22:54.4;2:25.2;;;;;0.0;1309400;21:49.4;3:21.2;22.0;2096920;34:56.9;2:20.4;19.0;2468000;41:08.0;4:34.4;15.0;1361350;22:41.3;1:52.5;;;;;24.0;1839210;30:39.2;1:07.0;;;;
124;Simon Hjelmeset;Kirkeeide;0;m;Markane IL;NO;Serie;M18;00:00:00.000;Mål;135.0;OK;15;0;7;679924;Stryn vgs;135.0;13260970;3:41:00.9;17:39.070;0;418644;NOR;18.0;2645110;44:05.1;4:40.8;14.0;1535400;25:35.4;2:56.2;9.0;1945230;32:25.2;3:04.7;;;;;0.0;0;0:00.0;20:29.2;;;;;16.0;1223200;20:23.2;1:55.0;17.0;2184480;36:24.4;3:47.9;14.0;2500200;41:40.2;5:06.6;36.0;1289220;21:29.2;0:40.4;;;;;20.0;1883360;31:23.3;1:51.1;;;;
125;Martin Bøe;Svestad;0;m;Fossum IF;NO;Serie;M18;00:00:00.000;Mål;133.0;OK;16;0;7;3686910;;133.0;12912490;3:35:12.4;11:50.590;0;418644;NOR;24.0;2595730;43:15.7;3:51.4;17.0;1521600;25:21.6;2:42.4;19.0;1859000;30:59.0;1:38.5;;;;;6.0;1351600;22:31.6;2:02.4;;;;;21.0;1204400;20:04.4;1:36.2;5.0;2250550;37:30.5;4:54.0;15.0;2496800;41:36.8;5:03.2;18.0;1340440;22:20.4;1:31.6;;;;;19.0;1894520;31:34.5;2:02.3;;;;
126;Kevin Brekken;Ramsfjell;0;m;Figgjo IL;NO;Serie;M18;00:00:00.000;Mål;132.0;OK;17;0;7;2122673;NTG-G;132.0;11248300;3:07:28.3;15:53.600;0;418644;NOR;10.0;2725340;45:25.3;6:01.0;13.0;1544800;25:44.8;3:05.6;22.0;1833000;30:33.0;1:12.5;;;;;20.0;1292600;21:32.6;1:03.4;;;;;26.0;1173500;19:33.5;1:05.3;19.0;2116010;35:16.0;2:39.5;9.0;2519700;41:59.7;5:26.1;20.0;1333010;22:13.0;1:24.2;;;;;12.0;1955380;32:35.3;3:03.1;;;;
127;Marius Årestrup;Larsen;0;m;Vik IL;NO;Serie;M18;00:00:00.000;Mål;125.0;OK;18;0;7;694782;NTG-G;125.0;11883290;3:18:03.2;5:18.610;0;418644;NOR;11.0;2721650;45:21.6;5:57.3;20.0;1493600;24:53.6;2:14.4;24.0;1824200;30:24.2;1:03.7;;;;;17.0;1304500;21:44.5;1:15.3;;;;;20.0;1205700;20:05.7;1:37.5;12.0;2211770;36:51.7;4:15.2;18.0;2481100;41:21.1;4:47.5;14.0;1362420;22:42.4;1:53.6;;;;;7.0;2043530;34:03.5;4:31.3;;;;
128;Peder;Stalenget;0;m;Tretten Skiskytterlag;NO;Serie;M18;00:00:00.000;Mål;121.0;OK;19;0;7;374733;;121.0;12297170;3:24:57.1;1:35.270;0;418644;NOR;;;;;;;;;16.0;1895600;31:35.6;2:15.1;;;;;14.0;1318800;21:58.8;1:29.6;;;;;19.0;1209700;20:09.7;1:41.5;14.0;2192450;36:32.4;3:55.9;11.0;2511400;41:51.4;5:17.8;21.0;1332270;22:12.2;1:23.4;;;;;26.0;1836950;30:36.9;1:04.7;;;;
